Date,S,r,q,sigma_hist,sigma_ml,price_bsm,price_ml,call_comp,put_comp,intrinsic,bsm_error,ml_error,improvement,vol_regime
2025-10-08,304.0299987792969,0.0401,0.0182547775623578,0.1230059761562795,0.1282614631379263,154.42634419920853,154.42634422272133,154.42634422272133,4.791636767840608e-16,154.02999877929688,0.39634541991165406,0.3963454434244511,-2.351279704271292e-08,Normal
2025-10-09,305.5299987792969,0.0403,0.0181651557037746,0.1205454174458167,0.1253974683690695,155.95491641206303,155.9549164201723,155.9549164201723,5.923427610064792e-17,155.52999877929688,0.424917632766153,0.42491764087543515,-8.109282134682871e-09,Normal
2025-10-10,300.8900146484375,0.0401999999999999,0.0184452781076323,0.1192907953541404,0.1241801809540127,151.3012919615031,151.30129197364855,151.30129197364855,1.3115873349902388e-16,150.8900146484375,0.4112773130655967,0.41127732521104576,-1.2145449090894544e-08,Low
2025-10-13,307.9700012207031,0.0401999999999999,0.0180212357632283,0.1443138101589953,0.14620698615939387,158.38011677713178,158.3801171234749,158.38011712347432,5.576073709374787e-13,157.97000122070312,0.41011555642865005,0.41011590277176424,-3.4634311418813013e-07,Normal
2025-10-14,302.0799865722656,0.0401999999999999,0.0183726173421035,0.1576602631695179,0.1622117631075467,152.49108000806729,152.49109427792646,152.49109427759737,3.290863667340948e-10,152.07998657226562,0.4110934358016607,0.41110770566083943,-1.4269859178739353e-05,Normal
2025-10-15,305.69000244140625,0.0403,0.0181556477335689,0.1636504570995935,0.17790182373675276,156.11491926830232,156.11504338232731,156.11504337501282,7.314506883946872e-09,155.69000244140625,0.4249168268960659,0.4250409409210647,-0.00012411402499878932,Normal
2025-10-16,298.5400085449219,0.0401999999999999,0.01859047310627,0.1792246832624454,0.18828667062930116,148.95199554360764,148.95242831128013,148.95242815356968,1.577104550060509e-07,148.54000854492188,0.4119869986857623,0.41241976635825495,-0.00043276767249267323,Normal
2025-10-17,297.5599975585937,0.04,0.0186517006504112,0.1776687528264228,0.1867606289192411,147.94330904170647,147.943721290008,147.9437211487585,1.4124950075464369e-07,147.5599975585937,0.3833114831127773,0.3837237314143067,-0.0004122483015294165,Normal
2025-10-20,302.3599853515625,0.0397,0.0183556034822096,0.1871614274723801,0.19112897944680912,152.69946340972314,152.6996861494766,152.69968599812321,1.5135337776612913e-07,152.3599853515625,0.3394780581606369,0.3397007979141051,-0.00022273975346820407,Normal
2025-10-21,297.0899963378906,0.0395999999999999,0.0186812079451096,0.1942471384758007,0.19691500740870857,147.41683678886952,147.4171691118555,147.4171683365363,7.753191826389393e-07,147.08999633789062,0.32684045097889225,0.3271727739648611,-0.0003323229859688581,Normal
2025-10-22,294.1099853515625,0.0395999999999999,0.0188704915726198,0.19576658239666,0.2025238708838255,144.43788962260396,144.43915859286125,144.43915609788175,2.4949794899269855e-06,144.1099853515625,0.32790427104146147,0.32917324129874714,-0.0012689702572856731,Normal
2025-10-23,294.5400085449219,0.0395,0.0188429409893004,0.1955592378188864,0.19880654364193467,144.85333547583312,144.85386058160347,144.85385915513513,1.4264683551912485e-06,144.54000854492188,0.31332693091124497,0.31385203668159534,-0.0005251057703503648,Normal
2025-10-24,300.44000244140625,0.0393,0.0184729062538281,0.2105290327014118,0.2110489288183999,150.7253890198232,150.72552329696643,150.72551976246598,3.5345004377036705e-06,150.44000244140625,0.28538657841696136,0.28552085556017914,-0.00013427714321778694,High
2025-10-27,304.1499938964844,0.0389,0.0182475755757828,0.2133630891675918,0.2182242707537393,154.37696909731747,154.37833595716666,154.37833032988343,5.627283240805829e-06,154.14999389648438,0.22697520083309541,0.22834206068228013,-0.0013668598491847206,High
2025-10-28,305.3599853515625,0.0389,0.0181752694073857,0.2142343828180166,0.21872784571318493,155.58671313348648,155.58794510269405,155.5879398695408,5.233153238312307e-06,155.3599853515625,0.22672778192398368,0.2279597511315501,-0.001231969207566408,High
2025-10-29,305.510009765625,0.0393,0.0181663442198104,0.2143237463499754,0.21901021677076346,155.79437488108007,155.79565456328314,155.79564931257357,5.2507095639375465e-06,155.510009765625,0.28436511545507415,0.28564479765813644,-0.0012796822030622934,High
2025-10-30,309.44000244140625,0.0392,0.0179356255048211,0.2134700630299877,0.21837538349539753,159.70840937997528,159.7094656589608,159.70946247607853,3.1828822652123825e-06,159.44000244140625,0.2684069385690293,0.26946321755454505,-0.0010562789855157462,High
2025-10-31,311.1199951171875,0.0389,0.0178387763149376,0.210858527782332,0.2132501703552154,161.34420052088186,161.34458014545103,161.34457875524404,1.3902069974374117e-06,161.1199951171875,0.2242054036943557,0.2245850282635331,-0.00037962456917739473,High
2025-11-03,309.3500061035156,0.0398,0.0179408433505666,0.2102752256948146,0.20990973040763705,159.70438235530477,159.70432651889226,159.70432546408674,1.0548055363641617e-06,159.35000610351562,0.354376251789148,0.35432041537663395,5.5836412514054246e-05,High
2025-11-04,309.25,0.0395999999999999,0.017946645109135,0.2101556108818039,0.2124811460955851,159.5755627692823,159.57594849146022,159.57594697363925,1.5178209644563817e-06,159.25,0.32556276928229977,0.325948491460224,-0.00038572217792420815,High
2025-11-05,311.67999267578125,0.0395999999999999,0.017806725264439,0.2110537439077834,0.21061659148258394,162.0050016587564,162.00493984210277,162.0049389519448,8.901579687033647e-07,161.67999267578125,0.325008982975163,0.32494716632152176,6.181665364124456e-05,High
